"Event","Rank","Time","Wind","Name","Nationality","Birthday","Result","City","Date","lon","lat","Altitude","Age"
"200m","3070",20.37,1.3,"Floyd Heard","USA",1966-03-24,"1r2","Bloomington",2002-07-20,-86.5263857,39.165325,FALSE,36.35
"200m","3070",20.37,1.9,"Shingo Suetsugu","JPN",1980-06-02,"1","Sapporo",2002-07-21,-97.2433286,37.6803663,FALSE,22.15
"200m","3070",20.37,-0.3,"Marcin Jedrusinski","POL",1981-09-28,"1q3","München",2002-08-08,11.5819805,48.1351253,FALSE,20.87
"200m","3070",20.37,-0.5,"Morné Nagel","RSA",1978-03-23,"4","Pretoria",2003-04-04,28.2292712,-25.7478676,TRUE,25.05
"200m","3070",20.37,-0.6,"Leo Bookman","USA",1982-01-03,"2","Austin",2003-05-19,-97.7430608,30.267153,FALSE,21.39
"200m","3070",20.37,-2.3,"Konstadínos Kedéris","GRE",1973-07-11,"1","Firenze",2003-06-22,11.2558136,43.7695604,FALSE,29.97
"200m","3070",20.37,2,"Julian Golding","GBR",1975-02-17,"1","Birmingham",2003-07-27,-86.8103567,33.5185892,FALSE,28.46
"200m","3070",20.37,0.1,"Shawn Crawford","USA",1978-01-14,"2","Monaco",2003-09-14,7.4246158,43.7384176,FALSE,25.68
"200m","3070",20.37,-0.4,"Joshua J. Johnson","USA",1976-05-10,"3rA","Walnut",2004-04-18,-95.0780294,37.6014373,FALSE,27.96
"200m","3070",20.37,0.3,"Joshua J. Johnson","USA",1976-05-10,"1rA","Malmö",2004-08-02,13.003822,55.604981,FALSE,28.25
"200m","3070",20.37,0.2,"Stéphane Buckland","MRI",1977-01-13,"3s2","Athínai",2004-08-25,23.7275388,37.9838096,FALSE,27.63
"200m","3070",20.37,1.3,"Jeremy Wariner","USA",1984-01-31,"1r10","Arlington",2006-04-01,-97.1080656,32.735687,FALSE,22.18
"200m","3070",20.37,1.2,"Rodney Martin","USA",1982-12-22,"4","Carson",2006-05-21,-118.281693,33.8316745,FALSE,23.43
"200m","3070",20.37,1.8,"Ronald Pognon","FRA",1982-11-16,"2","Ciudad de Málaga",2006-06-29,-4.4259962,36.7167456,FALSE,23.63
"200m","3070",20.37,0,"Shingo Suetsugu","JPN",1980-06-02,"1","Kobe",2006-07-01,-97.4440675,37.7236958,FALSE,26.1
"200m","3070",20.37,0.8,"David Alerte","FRA",1984-09-18,"1","Tomblaine",2006-07-22,6.221307,48.683482,FALSE,21.85
"200m","3070",20.37,0.5,"Clement Campbell","JAM",1975-02-19,"1","Praha",2007-06-13,14.4378005,50.0755381,FALSE,32.33
"200m","3070",20.37,0.8,"Brendan Christian","ANT",1983-12-11,"1","Rio de Janeiro",2007-07-27,-43.1728965,-22.9068467,FALSE,23.64
"200m","3070",20.37,1.8,"Till Helmke","GER",1984-05-06,"1","Wetzlar",2007-07-28,8.5081645,50.5589802,FALSE,23.24
"200m","3070",20.37,1.3,"Jeremy Wariner","USA",1984-01-31,"1r2","Arlington",2008-03-29,-97.1080656,32.735687,FALSE,24.18
"200m","3070",20.37,1,"Chris Berrian","USA",1983-04-17,"1r1","Berkeley",2008-04-26,-122.273042,37.8715226,FALSE,25.04
"200m","3070",20.37,1.2,"Jordan Boase","USA",1985-10-10,"1","Pullman",2008-05-03,-117.1817377,46.7297771,FALSE,22.58
"200m","3070",20.37,0.7,"Jeremy Dodson","USA",1987-08-30,"2","Boulder",2008-05-18,-105.2705456,40.0149856,TRUE,20.73
"200m","3070",20.37,-0.4,"Paul Hession","IRL",1983-01-27,"3","London",2008-07-26,-0.1277583,51.5073509,FALSE,25.51
"200m","3070",20.37,0.2,"Stéphane Buckland","MRI",1977-01-13,"5q2","Beijing",2008-08-18,116.4073963,39.9041999,FALSE,31.62
"200m","3070",20.37,NA,"Lionel Larry","USA",1986-09-14,"1r1","Walnut",2009-04-18,-95.0780294,37.6014373,FALSE,22.61
"200m","3070",20.37,-0.4,"Brian Dzingai","ZIM",1981-04-29,"4","Osaka",2009-05-09,135.5022535,34.6937249,FALSE,28.05
"200m","3070",20.37,1.6,"Brian Dzingai","ZIM",1981-04-29,"2","Ciudad de Málaga",2009-06-27,-4.4259962,36.7167456,FALSE,28.18
"200m","3070",20.37,0.4,"Trell Kimmons","USA",1985-07-13,"4s2","Eugene",2009-06-28,-123.0867536,44.0520691,FALSE,23.98
"200m","3070",20.37,-0.2,"Toby Sandeman","GBR",1988-03-02,"1","Kaunas",2009-07-18,23.9035965,54.8985207,FALSE,21.39
"200m","3070",20.37,-0.2,"Shawn Crawford","USA",1978-01-14,"1q2","Berlin",2009-08-18,13.404954,52.5200066,FALSE,31.61
"200m","3070",20.37,-0.2,"Ben Youssef Meité","CIV",1986-11-11,"1","Beyrouth",2009-10-05,35.5017767,33.8937913,FALSE,22.92
"200m","3070",20.37,-0.8,"Christophe Lemaitre","FRA",1990-06-11,"1","Barcelona",2010-07-30,-77.0323459,38.9120933,FALSE,20.15
"200m","3070",20.37,0.4,"Marvin Anderson","JAM",1982-05-12,"3","Kingston",2011-06-26,-117.9269481,33.7085616,FALSE,29.14
"200m","3070",20.37,-0.7,"Walter Dix","USA",1986-01-31,"1s3","Daegu",2011-09-02,128.601445,35.8714354,FALSE,25.6
"200m","3070",20.37,-1,"Roberto Skyers","CUB",1991-11-12,"1","Guadalajara",2011-10-27,-103.3496092,20.6596988,TRUE,19.97
"200m","3070",20.37,1.2,"Nesta Carter","JAM",1985-11-10,"2s1","Kingston",2012-06-30,-117.9269481,33.7085616,FALSE,26.65
"200m","3070",20.37,0.8,"Bruno de Barros","BRA",1987-01-07,"1","São Paulo",2012-07-01,-46.6333094,-23.5505199,FALSE,25.5
"200m","3070",20.37,-0.6,"Alex Quiñonez","ECU",1989-08-11,"3s2","London",2012-08-08,-0.1277583,51.5073509,FALSE,23.01
"200m","3070",20.37,0.9,"Bryshon Nellum","USA",1989-05-01,"1r1","Fayetteville",2013-04-27,-78.8783585,35.0526641,FALSE,24.01
"200m","3070",20.37,-1.1,"Isiah Young","USA",1990-01-05,"1s1","Des Moines",2013-06-23,-93.6249593,41.5868353,FALSE,23.48
"200m","3070",20.37,1.6,"Calesio Newman","USA",1986-08-20,"6","Des Moines",2013-06-23,-93.6249593,41.5868353,FALSE,26.86
"200m","3070",20.37,1.8,"Mosito Lehata","LES",1989-04-08,"1rA","Sollentuna",2013-06-27,17.9242952,59.4541218,FALSE,24.24
"200m","3070",20.37,0.3,"Alonso Edward","PAN",1989-12-08,"1rB","Luzern",2013-07-17,8.3093072,47.0501682,FALSE,23.62
"200m","3070",20.37,-0.4,"Curtis Mitchell","USA",1989-03-11,"1h1","Moskva",2013-08-16,37.6172999,55.755826,FALSE,24.45
"200m","3070",20.37,-0.2,"Churandy Martina","NED",1984-07-03,"2h2","Moskva",2013-08-16,37.6172999,55.755826,FALSE,29.14
"200m","3070",20.37,0,"Jaysuma Saidy Ndure","NOR",1984-01-01,"8","Moskva",2013-08-17,37.6172999,55.755826,FALSE,29.65
"200m","3070",20.37,0.6,"Jevaughn Minzie","JAM",1995-07-20,"1s1","Kingston",2014-03-27,-117.9269481,33.7085616,FALSE,18.7
"200m","3070",20.37,1.2,"Roberto Skyers","CUB",1991-11-12,"1","Port of Spain",2014-05-02,-61.5142371,10.6495918,FALSE,22.48
"200m","3070",20.37,1.6,"Isaac Makwala","BOT",1986-09-29,"1h","Gaborone",2014-05-04,25.9231471,-24.6282079,TRUE,27.61
"200m","3070",20.37,NA,"Brijesh Lawrence","SKN",1989-12-27,"1","Arima",2014-05-10,-117.1828713,32.8874431,FALSE,24.38
"200m","3070",20.37,1.6,"Brijesh Lawrence","SKN",1989-12-27,"2","Waterford",2014-06-22,-7.1100702,52.2593197,FALSE,24.5
"200m","3070",20.37,-0.5,"Ryan Bailey","USA",1989-04-13,"6","Monaco",2014-07-18,7.4246158,43.7384176,FALSE,25.28
"200m","3070",20.37,1.9,"Thomas Somers","GBR",1997-04-28,"1s1","Eugene",2014-07-24,-123.0867536,44.0520691,FALSE,17.25
"200m","3070",20.37,0.5,"Akani Simbine","RSA",1993-09-21,"5","Glasgow",2014-07-31,-4.251806,55.864237,FALSE,20.87
"200m","3070",20.37,-1.6,"Churandy Martina","NED",1984-07-03,"4","Zürich",2014-08-15,8.541694,47.3768866,FALSE,30.14
"200m","3070",20.37,0.2,"Sergii Smelyk","UKR",1987-04-19,"5","Marrakesh",2014-09-14,-7.9810845,31.6294723,FALSE,27.42
"200m","3070",20.37,-1.9,"Yancarlos Martínez","DOM",1992-07-08,"1","Medellín",2015-05-09,-75.5812119,6.244203,TRUE,22.85
"200m","3070",20.37,-1.9,"Bernardo Baloyes","COL",1994-01-06,"2","Medellín",2015-05-09,-75.5812119,6.244203,TRUE,21.35
"200m","3070",20.37,1.7,"Darrel J Zahn","USA",1993-01-31,"2","East Lansing",2015-05-17,-84.4838654,42.7369792,FALSE,22.3
"200m","3070",20.37,-0.1,"Churandy Martina","NED",1984-07-03,"1rB","Montverde",2015-06-06,-81.673964,28.6002769,FALSE,30.95
"200m","3070",20.37,0.9,"Kenji Fujimitsu","JPN",1986-05-01,"1h2","Niigata",2015-06-27,139.0363708,37.9161244,FALSE,29.18
"200m","3070",20.37,1.8,"Sean McLean","USA",1992-03-23,"4h5","Eugene",2015-06-27,-123.0867536,44.0520691,FALSE,23.28
"200m","3070",20.37,0.8,"Yancarlos Martínez","DOM",1992-07-08,"1s2","San José",2015-08-07,-121.8863286,37.3382082,TRUE,23.1
"200m","3070",20.37,-0.3,"Reynier Mena","CUB",1996-11-21,"3h1","Beijing",2015-08-25,116.4073963,39.9041999,FALSE,18.77
"200m","3070",20.37,0.4,"Akani Simbine","RSA",1993-09-21,"6s1","Beijing",2015-08-26,116.4073963,39.9041999,FALSE,21.94
"200m","3070",20.37,-0.4,"Wayde van Niekerk","RSA",1992-07-15,"4","Bruxelles",2015-09-11,4.3517103,50.8503396,FALSE,23.17
"200m","3070",20.37,1,"Curtis Mitchell","USA",1989-03-11,"3rA","Norwalk",2016-04-16,-73.4081575,41.117744,FALSE,27.12
"200m","3070",20.37,1,"Elijah Hall-Thompson","USA",1994-08-22,"2","Levelland",2016-05-19,-102.37796,33.5873164,FALSE,21.76
"200m","3070",20.37,-0.3,"Adam Gemili","GBR",1993-10-06,"1rA","Bruxelles",2016-06-19,4.3517103,50.8503396,FALSE,22.72
"200m","3070",20.37,-0.1,"Daniel Talbot","GBR",1991-05-01,"1s2","Amsterdam",2016-07-08,4.9035614,52.3679843,FALSE,25.21
"200m","3070",20.37,-0.3,"Brendon Rodney","CAN",1992-04-09,"6","London",2016-07-22,-0.1277583,51.5073509,FALSE,24.3
"200m","3070",20.37,1.2,"Ramil Guliyev","TUR",1990-05-29,"1","Joensuu",2016-07-30,29.7635719,62.6010155,FALSE,26.19
"200m","3070",20.37,-0.2,"Yohan Blake","JAM",1989-12-26,"6s3","Rio de Janeiro",2016-08-17,-43.1728965,-22.9068467,FALSE,26.66
"200m","3070",20.37,-0.4,"Aaron Brown","CAN",1992-05-27,"7s1","Rio de Janeiro",2016-08-17,-43.1728965,-22.9068467,FALSE,24.24
"200m","3070",20.37,0.4,"Solomon Bockarie","NED",1987-05-18,"1","Velenje",2016-08-31,15.1106582,46.3622743,FALSE,29.31
"200m","3070",20.37,0.1,"Joseph Millar","NZL",1992-09-24,"1","Hamilton",2017-03-19,-95.7175467,37.1929578,FALSE,24.5
"200m","3070",20.37,1.3,"Dedric Dukes","USA",1992-02-04,"1r2","Saint-Martin",2017-05-13,-63.0500809,18.0708298,FALSE,25.29
"200m","3070",20.37,1.5,"Alex Wilson","SUI",1990-09-19,"1rA","Weinheim",2017-05-27,8.6602704,49.544964,FALSE,26.7
"200m","3070",20.37,0.3,"Burkheart Ellis Jr.","BAR",1992-09-16,"1","Bridgetown",2017-06-25,-59.6131741,13.1059816,FALSE,24.79
"200m","3070",20.37,0,"Nickel Ashmeade","JAM",1990-04-07,"1rA","Luzern",2017-07-11,8.3093072,47.0501682,FALSE,27.28
"200m","3070",20.37,0.6,"Likoúrgos-Stéfanos Tsákonas","GRE",1990-03-08,"3h6","London",2017-08-07,-0.1277583,51.5073509,FALSE,27.44
"200m","3070",20.37,1,"Michael Norman","USA",1997-12-03,"1r1","Westwood",2018-03-24,-118.4455164,34.0635016,FALSE,20.32
"200m","3070",20.37,0,"Zharnel Hughes","GBR",1995-07-13,"1s2","Gold Coast",2018-04-11,153.4,-28.016667,FALSE,22.76
"200m","3070",20.37,1.3,"Nethaneel Mitchell-Blake","GBR",1994-04-02,"5","Ad-Dawhah",2018-05-04,51.5310398,25.2854473,FALSE,24.1
"200m","3070",20.37,0.1,"Jaron Flourney","USA",1996-11-24,"2s1","Tampa",2018-05-26,-82.4571776,27.950575,FALSE,21.52
"200m","3070",20.37,1.2,"Aleixo Platini Menga","GER",1987-09-29,"1r2","Mannheim",2018-06-24,8.4660395,49.4874592,FALSE,30.76
"200m","3070",20.37,0.2,"Nigel Ellis","JAM",1997-08-08,"2","Kingston",2018-06-24,-117.9269481,33.7085616,FALSE,20.89
"200m","3070",20.37,0.7,"Rasheed Dwyer","JAM",1989-01-29,"2h3","Barranquilla",2018-07-31,-74.8069813,11.0041072,FALSE,29.52
"200m","3070",20.37,0.7,"Leon Reid","IRL",1994-07-26,"7","Berlin",2018-08-09,13.404954,52.5200066,FALSE,24.05
"200m","3070",20.37,1.7,"Yang Chung-Han","TPE",1997-01-01,"1","Chiayi",2019-05-01,120.4491113,23.4800751,FALSE,22.34
"200m","3070",20.37,0.4,"Akeem Sirleaf","LBR",1997-03-10,"3","Greensboro",2019-05-04,-79.7919754,36.0726354,FALSE,22.16
"200m","3070",20.37,-0.8,"Courtney Lindsay","USA",NA,"2","Hobbs",2019-05-18,-95.5967803,37.1557452,FALSE,NA
"200m","3070",20.37,0,"Clarence Munyai","RSA",1998-02-20,"3","Shanghai",2019-05-18,121.473701,31.230416,FALSE,21.25
"200m","3070",20.37,0.7,"Oraine Palmer","JAM",1995-08-31,"4h3","Austin",2019-06-05,-97.7430608,30.267153,FALSE,23.78
"200m","3070",20.37,0.5,"Just'n Thymes","USA",1994-01-24,"1","Long Beach",2019-06-29,-118.1937395,33.7700504,FALSE,25.44
"200m","3251",20.38,-0.7,"Tommie Smith","USA",1944-06-12,"1s1","Echo Summit",1968-09-12,-120.0301833,38.8129628,TRUE,24.27
"200m","3251",20.38,0,"Mark Lutz","USA",1951-12-23,"2","Bakersfield",1973-06-16,-119.0187125,35.3732921,FALSE,21.5
"200m","3251",20.38,-0.1,"Donald Quarrie","JAM",1951-02-25,"2","Stuttgart",1975-08-26,9.1829321,48.7758459,FALSE,24.52
"200m","3251",20.38,1.8,"Pietro Mennea","ITA",1952-06-28,"1","Firenze",1977-06-01,11.2558136,43.7695604,FALSE,24.94
"200m","3251",20.38,-0.7,"Steve Riddick","USA",1951-09-18,"1","Nice",1977-08-21,7.2619532,43.7101728,FALSE,25.94
"200m","3251",20.38,0,"James Sanford","USA",1957-12-27,"1","Kingston",1978-05-12,-117.9269481,33.7085616,FALSE,20.39
"200m","3251",20.38,NA,"Clancy Edwards","USA",1955-08-09,"1","Lausanne",1978-07-13,6.6322734,46.5196535,FALSE,22.94
"200m","3251",20.38,NA,"Clancy Edwards","USA",1955-08-09,"2","Viareggio",1978-08-09,10.2513103,43.8657267,FALSE,23.02
"200m","3251",20.38,1.1,"Silvio Leonard","CUB",1955-09-20,"1","London",1978-08-23,-0.1277583,51.5073509,FALSE,22.94
"200m","3251",20.38,NA,"Renaldo Nehemiah","USA",1959-03-24,"1h3","Chapel Hill",1979-04-20,-79.0558445,35.9131996,FALSE,20.09
"200m","3251",20.38,0.8,"Pascal Barré","FRA",1959-04-12,"1","Génève",1979-07-01,6.1431577,46.2043907,FALSE,20.23
"200m","3251",20.38,0.8,"Pietro Mennea","ITA",1952-06-28,"1","Torino",1980-06-26,7.686864,45.0703393,FALSE,28.01
"200m","3251",20.38,-1.4,"Eric Brown","USA",1960-01-12,"2","Stanford",1981-05-23,-122.169719,37.4274745,FALSE,21.38
"200m","3251",20.38,-1.2,"Eric Brown","USA",1960-01-12,"2","Sacramento",1981-06-21,-121.4943996,38.5815719,FALSE,21.45
"200m","3251",20.38,0.9,"Kirk Baptiste","USA",1963-06-20,"3s2","Indianapolis",1983-06-19,-86.158068,39.768403,FALSE,20.01
"200m","3251",20.38,1.5,"Kirk Baptiste","USA",1963-06-20,"8","Indianapolis",1983-06-19,-86.158068,39.768403,FALSE,20.01
"200m","3251",20.38,-0.2,"Dwayne Evans","USA",1958-10-13,"1","Lausanne",1984-07-10,6.6322734,46.5196535,FALSE,25.76
"200m","3251",20.38,0.5,"Ralf Lübke","GER",1965-06-17,"1","Stuttgart",1985-08-04,9.1829321,48.7758459,FALSE,20.15
"200m","3251",20.38,-0.4,"Kirk Baptiste","USA",1963-06-20,"1","Bruxelles",1985-08-30,4.3517103,50.8503396,FALSE,22.21
"200m","3251",20.38,0,"Floyd Heard","USA",1966-03-24,"1","Austin",1986-05-03,-97.7430608,30.267153,FALSE,20.12
"200m","3251",20.38,1.6,"Roberto Hernández","CUB",1967-03-06,"1","La Habana",1987-03-15,-82.3665956,23.1135925,FALSE,20.04
"200m","3251",20.38,1.4,"Thomas Jefferson","USA",1962-06-08,"1","Durham",1987-07-24,-78.898619,35.9940329,FALSE,25.14
"200m","3251",20.38,0,"Pierfrancesco Pavoni","ITA",1963-02-21,"1","Grosseto",1987-08-10,11.1123634,42.7635254,FALSE,24.48
"200m","3251",20.38,1.3,"Calvin Smith","USA",1961-01-08,"1q2","Roma",1987-09-01,-95.9036356,36.0766378,FALSE,26.66
"200m","3251",20.38,1.2,"Robson Caetano da Silva","BRA",1964-09-04,"4s2","Roma",1987-09-03,-95.9036356,36.0766378,FALSE,23.01
"200m","3251",20.38,0.4,"Calvin Smith","USA",1961-01-08,"2","Sevilla",1988-06-01,-5.9844589,37.3890924,FALSE,27.41
"200m","3251",20.38,-0.6,"Robson Caetano da Silva","BRA",1964-09-04,"2","Leverkusen",1988-06-28,7.0192196,51.0459248,FALSE,23.83
"200m","3251",20.38,1.5,"Dennis Mitchell","USA",1966-02-20,"4","London",1989-07-14,-0.1277583,51.5073509,FALSE,23.41
"200m","3251",20.38,0.3,"Robson Caetano da Silva","BRA",1964-09-04,"1","Rieti",1989-09-03,12.8567281,42.404509,FALSE,25.01
"200m","3251",20.38,1.9,"Olapade Adeniken","NGR",1969-08-19,"3","Barcelona",1989-09-10,-77.0323459,38.9120933,FALSE,20.07
"200m","3251",20.38,0.9,"Frank Fredericks","NAM",1967-10-02,"1s1","Durham",1990-06-01,-78.898619,35.9940329,FALSE,22.68
"200m","3251",20.38,0.9,"Danny Everett","USA",1966-11-01,"1s1","Norwalk",1990-06-16,-73.4081575,41.117744,FALSE,23.64
"200m","3251",20.38,-0.2,"Robson Caetano da Silva","BRA",1964-09-04,"2","Bruxelles",1990-08-10,4.3517103,50.8503396,FALSE,25.95
"200m","3251",20.38,0.9,"Leroy Burrell","USA",1967-02-21,"2h4","Tokyo",1991-08-26,-94.7054123,37.4327307,FALSE,24.53
"200m","3251",20.38,0.8,"John Regis","GBR",1966-10-13,"4q3","Tokyo",1991-08-26,-94.7054123,37.4327307,FALSE,24.88
"200m","3251",20.38,2,"Rod Tolbert","USA",1967-06-11,"2","Modesto",1992-05-16,-120.9968782,37.6390972,FALSE,24.95
"200m","3251",20.38,-0.3,"Carl Lewis","USA",1961-07-01,"3h3","New Orleans",1992-06-26,-90.0715323,29.9510658,FALSE,31.01
"200m","3251",20.38,1.7,"Floyd Heard","USA",1966-03-24,"1","Ingolstadt",1992-07-19,11.4257541,48.7665351,FALSE,26.34
"200m","3251",20.38,0.2,"Michael Marsh","USA",1967-08-04,"1h10","Barcelona",1992-08-03,-77.0323459,38.9120933,FALSE,25.02
"200m","3251",20.38,-0.2,"Linford Christie","GBR",1960-04-02,"5s1","Barcelona",1992-08-05,-77.0323459,38.9120933,FALSE,32.36
"200m","3251",20.38,-1,"Michael Bates","USA",1969-12-19,"3","Barcelona",1992-08-06,-77.0323459,38.9120933,FALSE,22.65
"200m","3251",20.38,0.4,"Vladislav Dologodin","UKR",1972-02-23,"1","Kiev",1993-05-16,30.5234,50.4501,FALSE,21.24
"200m","3251",20.38,-0.8,"Robson Caetano da Silva","BRA",1964-09-04,"1","São Paulo",1993-05-16,-46.6333094,-23.5505199,FALSE,28.72
"200m","3251",20.38,-0.9,"John Regis","GBR",1966-10-13,"1","Roma",1993-06-27,-95.9036356,36.0766378,FALSE,26.72
"200m","3251",20.38,NA,"Michael Johnson","USA",1967-09-13,"1","New Delhi",1993-09-14,77.2090212,28.6139391,FALSE,26.02
"200m","3251",20.38,1.7,"Antonio Pettigrew","USA",1967-11-03,"1","Durham",1994-04-09,-78.898619,35.9940329,FALSE,26.45
"200m","3251",20.38,1,"Sebastián Keitel","CHI",1973-02-14,"2s1","Mar del Plata",1995-03-21,-57.5426106,-38.0054771,FALSE,22.11
"200m","3251",20.38,1.7,"Cornelius Cavitt","USA",1974-10-22,"1","Natchitoches",1996-05-18,-93.0862749,31.7607195,FALSE,21.59
"200m","3251",20.38,1,"Patrick Stevens","BEL",1968-01-31,"1","Bratislava",1996-05-29,17.1077478,48.1485965,FALSE,28.35
"200m","3251",20.38,0.7,"Frank Fredericks","NAM",1967-10-02,"1q1","Atlanta",1996-07-31,-84.3879824,33.7489954,FALSE,28.85
"200m","3251",20.38,0.1,"Steve Brimacombe","AUS",1971-05-07,"5s2","Atlanta",1996-08-01,-84.3879824,33.7489954,FALSE,25.25
"200m","3251",20.38,0.5,"Sebastián Keitel","CHI",1973-02-14,"1","Santiago de Chile",1997-04-13,-70.6692655,-33.4488897,FALSE,24.18
"200m","3251",20.38,-0.3,"Floyd Heard","USA",1966-03-24,"1h1","Indianapolis",1997-06-14,-86.158068,39.768403,FALSE,31.25
"200m","3251",20.38,-1.9,"Frank Fredericks","NAM",1967-10-02,"1","Paris",1997-06-25,2.3522219,48.856614,FALSE,29.75
"200m","3251",20.38,1.9,"Iván García","CUB",1972-02-29,"1","San Juan",1997-06-28,-66.1057355,18.4655394,FALSE,25.35
"200m","3251",20.38,0.2,"Floyd Heard","USA",1966-03-24,"2","Linz",1997-07-09,14.28583,48.30694,FALSE,31.32
"200m","3251",20.38,0.7,"Rohsaan Griffin","USA",1974-02-21,"5rA","Stuttgart",1997-07-13,9.1829321,48.7758459,FALSE,23.41
"200m","3251",20.38,0.4,"Kevin Little","USA",1968-04-03,"2q3","Athínai",1997-08-06,23.7275388,37.9838096,FALSE,29.36
"200m","3251",20.38,0,"Julian Golding","GBR",1975-02-17,"1","La Chaux-de-Fonds",1997-08-24,6.8327838,47.1034892,FALSE,22.53
"200m","3251",20.38,0.8,"Geóryios Panayiotópoulos","GRE",1969-08-12,"2","Berlin",1997-08-26,13.404954,52.5200066,FALSE,28.06
"200m","3251",20.38,-2.5,"Obadele Thompson","BAR",1976-03-30,"1","Des Moines",1998-04-25,-93.6249593,41.5868353,FALSE,22.08
"200m","3251",20.38,1,"Doug Walker","GBR",1973-07-28,"1","Sheffield",1998-08-02,-1.470085,53.381129,FALSE,25.03
"200m","3251",20.38,1.3,"Gentry Bradley","USA",1974-01-19,"2","Johannesburg",1998-09-13,28.0473051,-26.2041028,TRUE,24.67
"200m","3251",20.38,1.9,"Milton Mallard","USA",1973-11-24,"2","Fort-de-France",1999-05-08,-61.0587804,14.6160647,FALSE,25.47
"200m","3251",20.38,0.7,"Obadele Thompson","BAR",1976-03-30,"1","Oslo",1999-06-30,10.7522454,59.9138688,FALSE,23.27
"200m","3251",20.38,0,"Tony McCall","USA",1974-06-16,"1r2","Saint-Denis",1999-07-03,2.357443,48.936181,FALSE,25.06
"200m","3251",20.38,-0.1,"Claudinei Quirino da Silva","BRA",1970-11-19,"1h8","Sevilla",1999-08-24,-5.9844589,37.3890924,FALSE,28.78
"200m","3251",20.38,0.2,"Kevin Little","USA",1968-04-03,"3q1","Sevilla",1999-08-24,-5.9844589,37.3890924,FALSE,31.41
"200m","3251",20.38,1.7,"Iván García","CUB",1972-02-29,"6s2","Sevilla",1999-08-25,-5.9844589,37.3890924,FALSE,27.5
"200m","3251",20.38,0.4,"Coby Miller","USA",1976-10-19,"1h1","Durham",2000-05-31,-78.898619,35.9940329,FALSE,23.63
"200m","3251",20.38,0.5,"Shawn Crawford","USA",1978-01-14,"1s1","Durham",2000-06-02,-78.898619,35.9940329,FALSE,22.4
"200m","3251",20.38,-0.6,"Claudinei Quirino da Silva","BRA",1970-11-19,"2r2","Athínai",2000-06-28,23.7275388,37.9838096,FALSE,29.63
"200m","3251",20.38,-0.2,"Leonard Scott","USA",1980-01-19,"1r1","Knoxville",2001-04-13,-83.9207392,35.9606384,FALSE,21.25
"200m","3251",20.38,0.7,"Marco Torrieri","ITA",1978-05-14,"5s2","Edmonton",2001-08-08,-113.4909267,53.544389,FALSE,23.25
"200m","3251",20.38,0.1,"Marlon Devonish","GBR",1976-06-01,"8","Edmonton",2001-08-09,-113.4909267,53.544389,FALSE,25.21
"200m","3251",20.38,-0.2,"Christopher Williams","JAM",1972-03-15,"2","Brisbane",2001-09-06,153.0251235,-27.4697707,FALSE,29.5
"200m","3251",20.38,0,"Leonard Scott","USA",1980-01-19,"1h2","Starkville",2002-05-10,-88.8183872,33.4503998,FALSE,22.32
"200m","3251",20.38,1.5,"Leonard Scott","USA",1980-01-19,"3","Starkville",2002-05-12,-88.8183872,33.4503998,FALSE,22.33
"200m","3251",20.38,0.4,"Marlon Devonish","GBR",1976-06-01,"3","Rieti",2002-09-08,12.8567281,42.404509,FALSE,26.29
"200m","3251",20.38,NA,"Shingo Suetsugu","JPN",1980-06-02,"1","Busan",2002-10-10,129.0756416,35.1795543,FALSE,22.37
"200m","3251",20.38,1.4,"John Capel","USA",1978-11-27,"1","Portland",2003-05-17,-122.6793461,45.5154586,FALSE,24.48
"200m","3251",20.38,1.4,"Darvis Patton","USA",1977-12-04,"2","Portland",2003-05-17,-122.6793461,45.5154586,FALSE,25.47
"200m","3251",20.38,0.8,"Frank Fredericks","NAM",1967-10-02,"1","Linz",2003-07-31,14.28583,48.30694,FALSE,35.85
"200m","3251",20.38,0.7,"Stéphane Buckland","MRI",1977-01-13,"1h2","Saint-Denis",2003-08-27,2.357443,48.936181,FALSE,26.64
"200m","3251",20.38,0.1,"Shingo Suetsugu","JPN",1980-06-02,"3","Saint-Denis",2003-08-29,2.357443,48.936181,FALSE,23.25
"200m","3251",20.38,0.3,"LaShawn Merritt","USA",1986-06-27,"1r1","Knoxville",2005-04-16,-83.9207392,35.9606384,FALSE,18.82
"200m","3251",20.38,0,"Wallace Spearmon","USA",1984-12-24,"3r4","Bloomington",2005-05-28,-86.5263857,39.165325,FALSE,20.44
"200m","3251",20.38,-1.6,"Tyson Gay","USA",1982-08-09,"1h3","Carson",2005-06-25,-118.281693,33.8316745,FALSE,22.89
"200m","3251",20.38,0.2,"Leonard Scott","USA",1980-01-19,"1r1","Réthymno",2005-07-10,24.4821552,35.3643615,FALSE,25.49
"200m","3251",20.38,1,"Ronald Pognon","FRA",1982-11-16,"1h1","Angers",2005-07-16,-0.5518257,47.4711616,FALSE,22.68
"200m","3251",20.38,0.7,"Aaron Armstrong","TTO",1977-10-14,"1","Linz",2005-08-23,14.28583,48.30694,FALSE,27.88
"200m","3251",20.38,0.2,"Rodney Martin","USA",1982-12-22,"1","Villeneuve d'Ascq",2006-06-09,3.1442651,50.6232523,FALSE,23.48
"200m","3251",20.38,1.5,"Francis Obikwelu","POR",1978-11-22,"1","Thessaloníki",2006-06-18,22.9444191,40.6400629,FALSE,27.59
